__int64 __cdecl appSystemTime64(void)	0x101021f3	0x000021f3	2121 (0x849)Exported Function	
autoclassUObjectProperty	0x1023a6f0	0x0013a6f0	2448 (0x990)Exported Function	
autoclassUPackage	0x1023a580	0x0013a580	2449 (0x991)Exported Function	
autoclassUPackageMap	0x1023884c	0x0013884c	2450 (0x992)Exported Function	
autoclassUParamStack	0x1023a588	0x0013a588	2451 (0x993)Exported Function	
autoclassUProperty	0x1023a6d8	0x0013a6d8	2452 (0x994)Exported Function	
autoclassUState	0x10238838	0x00138838	2453 (0x995)Exported Function	
autoclassUStrProperty	0x1023a6fc	0x0013a6fc	2454 (0x996)Exported Function	
autoclassUStruct	0x10238834	0x00138834	2455 (0x997)Exported Function	
autoclassUStructProperty	0x1023a70c	0x0013a70c	2456 (0x998)Exported Function	
autoclassUSubsystem	0x1023a578	0x0013a578	2457 (0x999)Exported Function	
autoclassUSystem	0x1023a71c	0x0013a71c	2458 (0x99a)Exported Function	
autoclassUTextBuffer	0x1023a564	0x0013a564	2459 (0x99b)Exported Function	
autoclassUTextBufferFactory	0x1023a584	0x0013a584	2460 (0x99c)Exported Function	
char * __cdecl appAnsiStaticString1024(void)	0x10103aa3	0x00003aa3	2012 (0x7dc)Exported Function	
char * __cdecl winToANSI(char *,unsigned short const *,int)	0x10103bf7	0x00003bf7	2416 (0x970)Exported Function	
char * __cdecl winToOEM(char *,unsigned short const *,int)	0x10102eeb	0x00002eeb	2417 (0x971)Exported Function	
char const * __cdecl appToAnsi(unsigned short const *,char *)	0x10102040	0x00002040	2126 (0x84e)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,class FClassNetCache &)	0x10101226	0x00001226	549 (0x225)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,class FCompactIndex &)	0x10102315	0x00002315	550 (0x226)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,class FDependency &)	0x10103d91	0x00003d91	551 (0x227)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,class FFieldNetCache &)	0x10103305	0x00003305	552 (0x228)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,class FPackageInfo &)	0x10104048	0x00004048	553 (0x229)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,class FString &)	0x10101447	0x00001447	554 (0x22a)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,struct FLabelEntry &)	0x10103c3d	0x00003c3d	547 (0x223)Exported Function	
class FArchive & __cdecl operator<<(class FArchive &,struct FNameEntry &)	0x101018ac	0x000018ac	548 (0x224)Exported Function	
class FArchive * GDummySave	0x102352e8	0x001352e8	1048 (0x418)Exported Function	
class FCodec * GL2CurrentTxtCodec	0x10235024	0x00135024	1117 (0x45d)Exported Function	
class FCodec * GL2DESCodec	0x1023c67c	0x0013c67c	1118 (0x45e)Exported Function	
class FConfigCache * GConfig	0x1023c68c	0x0013c68c	1043 (0x413)Exported Function	
class FExec * GExec	0x1023c69c	0x0013c69c	1058 (0x422)Exported Function	
class FFeedbackContext * GWarn	0x1023c688	0x0013c688	1276 (0x4fc)Exported Function	
class FFileManager * GFileManager	0x10235038	0x00135038	1061 (0x425)Exported Function	
class FFileStream * GFileStream	0x1023e900	0x0013e900	1062 (0x426)Exported Function	
class FGlobalMath GMath	0x1023ff48	0x0013ff48	1204 (0x4b4)Exported Function	
class FGuid __cdecl appCreateGuid(void)	0x10101e79	0x00001e79	2030 (0x7ee)Exported Function	
class FMalloc * GMalloc	0x10235034	0x00135034	1203 (0x4b3)Exported Function	
class FMemStack GMem	0x1023fe68	0x0013fe68	1205 (0x4b5)Exported Function	
class FOutputDevice * GCheckGrpLog	0x1023c680	0x0013c680	1041 (0x411)Exported Function	
class FOutputDevice * GL2DebugLog	0x1023c684	0x0013c684	1119 (0x45f)Exported Function	
class FOutputDevice * GLog	0x10235020	0x00135020	1196 (0x4ac)Exported Function	
class FOutputDevice * GLogHook	0x1023c694	0x0013c694	1198 (0x4ae)Exported Function	
class FOutputDevice * GLogHook2	0x1023c698	0x0013c698	1197 (0x4ad)Exported Function	
class FOutputDevice * GNetworkLog	0x1023c678	0x0013c678	1215 (0x4bf)Exported Function	
class FOutputDevice * GNull	0x1023502c	0x0013502c	1219 (0x4c3)Exported Function	
class FOutputDevice * GThrow	0x10235030	0x00135030	1268 (0x4f4)Exported Function	
class FOutputDeviceError * GError	0x10235028	0x00135028	1056 (0x420)Exported Function	
class FString __cdecl appClipboardPaste(void)	0x10103788	0x00003788	2024 (0x7e8)Exported Function	
class FString __cdecl appFormat(class FString,class TMultiMap<class FString,class FString> const &)	0x10101672	0x00001672	2045 (0x7fd)Exported Function	
class FString __cdecl appGetGMTRef(void)	0x10103648	0x00003648	2053 (0x805)Exported Function	
class FString __cdecl ParseToken(unsigned short const * &,int)	0x101017f3	0x000017f3	1674 (0x68a)Exported Function	
class FTransactionBase * GUndo	0x1023c690	0x0013c690	1272 (0x4f8)Exported Function	
class L2ThreadUtil GThreadUtil	0x1027a798	0x0017a798	1267 (0x4f3)Exported Function	
class TArray<class FEdLoadError> GEdLoadErrors	0x1023fe5c	0x0013fe5c	1049 (0x419)Exported Function	
class UDebugger * GDebugger	0x1023e904	0x0013e904	1046 (0x416)Exported Function	
class UObject * GPropObject	0x1023c674	0x0013c674	1249 (0x4e1)Exported Function	
class UProperty * GProperty	0x1023c668	0x0013c668	1250 (0x4e2)Exported Function	
class USubsystem * GWindowManager	0x1023c6a8	0x0013c6a8	1277 (0x4fd)Exported Function	
class USystem * GSys	0x1023c6a0	0x0013c6a0	1264 (0x4f0)Exported Function	
const FArchive::`vftable'	0x101cd5ec	0x000cd5ec	705 (0x2c1)Exported Function	
const FArchiveCountMem::`vftable'	0x101ce044	0x000ce044	706 (0x2c2)Exported Function	
const FArchiveDummySave::`vftable'	0x101cd964	0x000cd964	707 (0x2c3)Exported Function	
const FBitReader::`vftable'	0x101cf534	0x000cf534	708 (0x2c4)Exported Function	
const FBitWriter::`vftable'	0x101cf4b4	0x000cf4b4	709 (0x2c5)Exported Function	
const FBufferReader::`vftable'	0x101cda04	0x000cda04	710 (0x2c6)Exported Function	
const FCodec::`vftable'	0x101cd5b8	0x000cd5b8	711 (0x2c7)Exported Function	
const FDummyCodec::`vftable'	0x101cd9e0	0x000cd9e0	712 (0x2c8)Exported Function	
const FErrorOutError::`vftable'	0x101cd90c	0x000cd90c	713 (0x2c9)Exported Function	
const FExec::`vftable'	0x101cd4e8	0x000cd4e8	714 (0x2ca)Exported Function	
const FFeedbackContext::`vftable'	0x101cd50c	0x000cd50c	715 (0x2cb)Exported Function	
const FFileManager::`vftable'	0x101cd564	0x000cd564	716 (0x2cc)Exported Function	
const FFrame::`vftable'	0x101cdaf0	0x000cdaf0	717 (0x2cd)Exported Function	
const FLogOutError::`vftable'	0x101cd924	0x000cd924	718 (0x2ce)Exported Function	
const FMalloc::`vftable'	0x101cd4a4	0x000cd4a4	719 (0x2cf)Exported Function	
const FNotifyHook::`vftable'	0x101cd4f4	0x000cd4f4	720 (0x2d0)Exported Function	
const FNullOutError::`vftable'	0x101cd94c	0x000cd94c	721 (0x2d1)Exported Function	
const FOutputDevice::`vftable'	0x101cd478	0x000cd478	722 (0x2d2)Exported Function	
const FOutputDeviceError::`vftable'	0x101cd48c	0x000cd48c	723 (0x2d3)Exported Function	
const FStateFrame::`vftable'	0x101cdb04	0x000cdb04	724 (0x2d4)Exported Function	
const FThrowOut::`vftable'	0x101cd938	0x000cd938	725 (0x2d5)Exported Function	
const FTransactionBase::`vftable'	0x101cd550	0x000cd550	726 (0x2d6)Exported Function	
const FUnknown::`vftable'	0x101cdb40	0x000cdb40	727 (0x2d7)Exported Function	
const L2ThreadBase::`vftable'	0x101cdfe8	0x000cdfe8	728 (0x2d8)Exported Function	
const L2ThreadInterface::`vftable'	0x101ce028	0x000ce028	729 (0x2d9)Exported Function	
const L2ThreadUtil::`vftable'	0x101ce034	0x000ce034	730 (0x2da)Exported Function	
const UArrayProperty::`vftable'	0x101cf114	0x000cf114	731 (0x2db)Exported Function	
const UBoolProperty::`vftable'	0x101ceabc	0x000ceabc	732 (0x2dc)Exported Function	
const UByteProperty::`vftable'	0x101ce8ec	0x000ce8ec	733 (0x2dd)Exported Function	
const UClass::`vftable'	0x101cf694	0x000cf694	734 (0x2de)Exported Function	
const UClassProperty::`vftable'	0x101ced74	0x000ced74	735 (0x2df)Exported Function	
const UCommandlet::`vftable'	0x101ce35c	0x000ce35c	736 (0x2e0)Exported Function	
const UConst::`vftable'	0x101ce764	0x000ce764	737 (0x2e1)Exported Function	
const UDelegateProperty::`vftable'	0x101cf3cc	0x000cf3cc	738 (0x2e2)Exported Function	
const UEnum::`vftable'	0x101ce6c4	0x000ce6c4	739 (0x2e3)Exported Function	
const UExporter::`vftable'	0x101cfabc	0x000cfabc	740 (0x2e4)Exported Function	
const UFactory::`vftable'	0x101cfa2c	0x000cfa2c	741 (0x2e5)Exported Function	
const UField::`vftable'	0x101cddd4	0x000cddd4	742 (0x2e6)Exported Function	
const UFixedArrayProperty::`vftable'	0x101cf02c	0x000cf02c	743 (0x2e7)Exported Function	
const UFloatProperty::`vftable'	0x101ceba4	0x000ceba4	744 (0x2e8)Exported Function	
const UFunction::`vftable'	0x101ce544	0x000ce544	745 (0x2e9)Exported Function	
const UIntProperty::`vftable'	0x101ce9d4	0x000ce9d4	746 (0x2ea)Exported Function	
const ULanguage::`vftable'	0x101cdcc4	0x000cdcc4	747 (0x2eb)Exported Function	
const ULinker::`vftable'	0x101cf754	0x000cf754	748 (0x2ec)Exported Function	
const ULinkerLoad::`vftable'{for `FArchive'}	0x101cf7dc	0x000cf7dc	749 (0x2ed)Exported Function	
const ULinkerLoad::`vftable'{for `ULinker'}	0x101cf85c	0x000cf85c	750 (0x2ee)Exported Function	
const UMapProperty::`vftable'	0x101cf1fc	0x000cf1fc	751 (0x2ef)Exported Function	
const UNameProperty::`vftable'	0x101cee5c	0x000cee5c	752 (0x2f0)Exported Function	
const UObject::`vftable'	0x101dcef4	0x000dcef4	753 (0x2f1)Exported Function	
const UObjectExporterT3D::`vftable'	0x101cfb4c	0x000cfb4c	754 (0x2f2)Exported Function	
const UObjectProperty::`vftable'	0x101cec8c	0x000cec8c	755 (0x2f3)Exported Function	
const UPackage::`vftable'	0x101cdbac	0x000cdbac	756 (0x2f4)Exported Function	
const UPackageMap::`vftable'	0x101cf8e4	0x000cf8e4	757 (0x2f5)Exported Function	
const UParamStack::`vftable'	0x101cdd4c	0x000cdd4c	758 (0x2f6)Exported Function	
const UProperty::`vftable'	0x101ce804	0x000ce804	759 (0x2f7)Exported Function	
const UState::`vftable'	0x101ce604	0x000ce604	760 (0x2f8)Exported Function	
const UStrProperty::`vftable'	0x101cef44	0x000cef44	761 (0x2f9)Exported Function	
const UStruct::`vftable'	0x101ce484	0x000ce484	762 (0x2fa)Exported Function	
const UStructProperty::`vftable'	0x101cf2e4	0x000cf2e4	763 (0x2fb)Exported Function	
const USubsystem::`vftable'{for `FExec'}	0x101cdc30	0x000cdc30	764 (0x2fc)Exported Function	
const USubsystem::`vftable'{for `UObject'}	0x101cdc3c	0x000cdc3c	765 (0x2fd)Exported Function	
const USystem::`vftable'{for `FExec'}	0x101cf998	0x000cf998	766 (0x2fe)Exported Function	
const USystem::`vftable'{for `UObject'}	0x101cf9a4	0x000cf9a4	767 (0x2ff)Exported Function	
const UTextBuffer::`vftable'{for `FOutputDevice'}	0x101ce3e4	0x000ce3e4	768 (0x300)Exported Function	
const UTextBuffer::`vftable'{for `UObject'}	0x101ce3fc	0x000ce3fc	769 (0x301)Exported Function	
const UTextBufferFactory::`vftable'	0x101cfbdc	0x000cfbdc	770 (0x302)Exported Function	
double __cdecl appAcos(double)	0x101011f4	0x000011f4	2011 (0x7db)Exported Function	
double __cdecl appAsin(double)	0x10103747	0x00003747	2014 (0x7de)Exported Function	
double __cdecl appAtan(double)	0x10102d6f	0x00002d6f	2016 (0x7e0)Exported Function	
double __cdecl appAtan2(double,double)	0x10104089	0x00004089	2015 (0x7df)Exported Function	
double __cdecl appCos(double)	0x101033d7	0x000033d7	2028 (0x7ec)Exported Function	
double __cdecl appExp(double)	0x101024e6	0x000024e6	2039 (0x7f7)Exported Function	
double __cdecl appFmod(double,double)	0x10101564	0x00001564	2044 (0x7fc)Exported Function	
double __cdecl appLoge(double)	0x10104250	0x00004250	2069 (0x815)Exported Function	
double __cdecl appPow(double,double)	0x101020db	0x000020db	2084 (0x824)Exported Function	
double __cdecl appSecondsQPC(void)	0x1010479b	0x0000479b	2095 (0x82f)Exported Function	
double __cdecl appSecondsSlow(void)	0x101035d0	0x000035d0	2096 (0x830)Exported Function	
double __cdecl appSin(double)	0x101048fe	0x000048fe	2097 (0x831)Exported Function	
double __cdecl appSqrt(double)	0x10104840	0x00004840	2101 (0x835)Exported Function	
double __cdecl appTan(double)	0x10103dfa	0x00003dfa	2123 (0x84b)Exported Function	
double GSecondsPerCycle	0x102352c0	0x001352c0	1262 (0x4ee)Exported Function	
double GSecondsPerCycleQPF	0x102352c8	0x001352c8	1263 (0x4ef)Exported Function	
double GTempDouble	0x1023e8b0	0x0013e8b0	1265 (0x4f1)Exported Function	
enum ERunningOS GRunningOS	0x102372fc	0x001372fc	1254 (0x4e6)Exported Function	
enum GCSTATE GL2GCState	0x1023f9d0	0x0013f9d0	1129 (0x469)Exported Function	
float __cdecl appAtof(unsigned short const *)	0x10102a9a	0x00002a9a	2017 (0x7e1)Exported Function	
float __cdecl appFractional(float)	0x10102ba3	0x00002ba3	2046 (0x7fe)Exported Function	
float __cdecl appFrand(void)	0x1010381e	0x0000381e	2047 (0x7ff)Exported Function	
float __cdecl appSRand(void)	0x1010456b	0x0000456b	2091 (0x82b)Exported Function	
float FAR_CLIPPING_PLANE	0x102372f8	0x001372f8	992 (0x3e0)Exported Function	
float GAudioDefaultRadius	0x102352f0	0x001352f0	1031 (0x407)Exported Function	
float GAudioMaxRadiusMultiplier	0x102352ec	0x001352ec	1032 (0x408)Exported Function	
float GL2ActorCR	0x10237360	0x00137360	1110 (0x456)Exported Function	
float GL2AntiPortalCR	0x10237300	0x00137300	1111 (0x457)Exported Function	
float GL2FogEnd	0x1023736c	0x0013736c	1126 (0x466)Exported Function	
float GL2FogSpeed	0x10237370	0x00137370	1127 (0x467)Exported Function	
float GL2FogStart	0x10237368	0x00137368	1128 (0x468)Exported Function	
float GL2MaxPawnResourceLoad	0x1023f9c8	0x0013f9c8	1137 (0x471)Exported Function	
float GL2OriginPawnCR	0x10237314	0x00137314	1141 (0x475)Exported Function	
float GL2OriginStaticMeshCR	0x1023730c	0x0013730c	1142 (0x476)Exported Function	
float GL2OriginStaticMeshLodCR	0x10237310	0x00137310	1143 (0x477)Exported Function	
float GL2OriginTerrainCR	0x10237308	0x00137308	1144 (0x478)Exported Function	
float GL2PawnCR	0x10237324	0x00137324	1146 (0x47a)Exported Function	
float GL2ProjectorCR	0x10237304	0x00137304	1148 (0x47c)Exported Function	
float GL2SeamlessMaginotLine	0x10237374	0x00137374	1156 (0x484)Exported Function	
float GL2StaticMeshCR	0x1023731c	0x0013731c	1168 (0x490)Exported Function	
float GL2StaticMeshLodCR	0x10237320	0x00137320	1169 (0x491)Exported Function	
float GL2TerrainCR	0x10237318	0x00137318	1170 (0x492)Exported Function	
float NEAR_CLIPPING_PLANE	0x102352f4	0x001352f4	1624 (0x658)Exported Function	
GIsMMX	0x1023fe44	0x0013fe44	2420 (0x974)Exported Function	
GIsPentiumPro	0x1023fe4c	0x0013fe4c	2421 (0x975)Exported Function	
GIsSSE	0x1023fe48	0x0013fe48	2422 (0x976)Exported Function	
GPackage	0x102373c0	0x001373c0	2423 (0x977)Exported Function	
int __cdecl appAnsiStrlen(char const *)	0x10101d93	0x00001d93	2013 (0x7dd)Exported Function	
int __cdecl appAtoi(unsigned short const *)	0x10102c57	0x00002c57	2018 (0x7e2)Exported Function	
int __cdecl appCeil(float)	0x10104138	0x00004138	2020 (0x7e4)Exported Function	
int __cdecl appCreateBitmap(unsigned short const *,int,int,unsigned long *,class FFileManager *,int)	0x1010220c	0x0000220c	2029 (0x7ed)Exported Function	
int __cdecl appCreateJpeg(unsigned short const *,int,int,unsigned long *,class FFileManager *,int)	0x10103481	0x00003481	2031 (0x7ef)Exported Function	
int __cdecl appFindPackageFile(unsigned short const *,class FGuid const *,unsigned short *)	0x101044bc	0x000044bc	2042 (0x7fa)Exported Function	
int __cdecl appFloor(float)	0x10104647	0x00004647	2043 (0x7fb)Exported Function	
int __cdecl appGetProcReturnCode(void *,int *)	0x10102a2c	0x00002a2c	2055 (0x807)Exported Function	
int __cdecl appGetVarArgs(unsigned short *,int,unsigned short const * &)	0x101044c1	0x000044c1	2057 (0x809)Exported Function	
int __cdecl appGetVarArgsAnsi(char *,int,char const * &)	0x10104309	0x00004309	2058 (0x80a)Exported Function	
int __cdecl appIsDebuggerPresent(void)	0x10101091	0x00001091	2061 (0x80d)Exported Function	
int __cdecl appIsNan(double)	0x1010269e	0x0000269e	2062 (0x80e)Exported Function	
int __cdecl appIsPureAnsi(unsigned short const *)	0x10101690	0x00001690	2063 (0x80f)Exported Function	
int __cdecl appLoadFileToArray(class TArray<unsigned char> &,unsigned short const *,class FFileManager *)	0x10101d43	0x00001d43	2066 (0x812)Exported Function	
int __cdecl appLoadFileToString(class FString &,unsigned short const *,class FFileManager *)	0x101047dc	0x000047dc	2067 (0x813)Exported Function	
int __cdecl appMemcmp(void const *,void const *,int)	0x10103cf1	0x00003cf1	2078 (0x81e)Exported Function	
int __cdecl appMemIsZero(void const *,int)	0x1010339b	0x0000339b	2077 (0x81d)Exported Function	
int __cdecl appRand(void)	0x10102a63	0x00002a63	2087 (0x827)Exported Function	
int __cdecl appRound(float)	0x1010157d	0x0000157d	2090 (0x82a)Exported Function	
int __cdecl appSaveArrayToFile(class TArray<unsigned char> const &,unsigned short const *,class FFileManager *)	0x10102f09	0x00002f09	2093 (0x82d)Exported Function	
int __cdecl appSaveStringToFile(class FString const &,unsigned short const *,class FFileManager *)	0x10101974	0x00001974	2094 (0x82e)Exported Function	
int __cdecl appSprintf(unsigned short *,unsigned short const *,...)	0x10102e23	0x00002e23	2100 (0x834)Exported Function	
int __cdecl appStrcmp(unsigned short const *,unsigned short const *)	0x10102e2d	0x00002e2d	2107 (0x83b)Exported Function	
int __cdecl appStricmp(unsigned short const *,unsigned short const *)	0x10103c47	0x00003c47	2110 (0x83e)Exported Function	
int __cdecl appStrlen(unsigned short const *)	0x101034cc	0x000034cc	2112 (0x840)Exported Function	
int __cdecl appStrncmp(unsigned short const *,unsigned short const *,int)	0x10101f96	0x00001f96	2114 (0x842)Exported Function	
int __cdecl appStrnicmp(unsigned short const *,unsigned short const *,int)	0x101040e3	0x000040e3	2116 (0x844)Exported Function	
int __cdecl appStrtoi(unsigned short const *,unsigned short * *,int)	0x101043c2	0x000043c2	2119 (0x847)Exported Function	
int __cdecl appUpdateFileModTime(unsigned short *)	0x10102fd6	0x00002fd6	2130 (0x852)Exported Function	
int __cdecl FLineExtentBoxIntersection(class FBox const &,class FVector const &,class FVector const &,class FVector const &,class FVector &,class FVector &,float &)	0x10101721	0x00001721	993 (0x3e1)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,__int64 &)	0x101047fa	0x000047fa	1663 (0x67f)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,class FGuid &)	0x10102b80	0x00002b80	1660 (0x67c)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,class FName &)	0x10102bb2	0x00002bb2	1661 (0x67d)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,class FString &)	0x10103503	0x00003503	1662 (0x67e)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,float &)	0x1010317a	0x0000317a	1659 (0x67b)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,int &)	0x101030b7	0x000030b7	1657 (0x679)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,short &)	0x101030bc	0x000030bc	1655 (0x677)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,signed char &)	0x10103003	0x00003003	1653 (0x675)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,unsigned __int64 &)	0x101047f5	0x000047f5	1664 (0x680)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,unsigned char &)	0x10103035	0x00003035	1654 (0x676)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,unsigned long &)	0x101031a2	0x000031a2	1658 (0x67a)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,unsigned short &)	0x101030a8	0x000030a8	1656 (0x678)Exported Function	
int __cdecl Parse(unsigned short const *,unsigned short const *,unsigned short *,int)	0x10104039	0x00004039	1665 (0x681)Exported Function	
int __cdecl ParseCommand(unsigned short const * *,unsigned short const *)	0x101042be	0x000042be	1666 (0x682)Exported Function	
int __cdecl ParseLine(unsigned short const * *,class FString &,int)	0x101014f1	0x000014f1	1668 (0x684)Exported Function	
int __cdecl ParseLine(unsigned short const * *,unsigned short *,int,int)	0x101028fb	0x000028fb	1669 (0x685)Exported Function	
int __cdecl ParseObject(unsigned short const *,unsigned short const *,class UClass *,class UObject * &,class UObject *)	0x10101771	0x00001771	1671 (0x687)Exported Function	
int __cdecl ParseParam(unsigned short const *,unsigned short const *)	0x10104322	0x00004322	1672 (0x688)Exported Function	
int __cdecl ParseToken(unsigned short const * &,class FString &,int)	0x101024dc	0x000024dc	1675 (0x68b)Exported Function	
int __cdecl ParseToken(unsigned short const * &,unsigned short *,int,int)	0x1010426e	0x0000426e	1676 (0x68c)Exported Function	
int __cdecl ParseUBOOL(unsigned short const *,unsigned short const *,int &)	0x10102261	0x00002261	1677 (0x68d)Exported Function	
int __cdecl winGetSizeANSI(unsigned short const *)	0x10104908	0x00004908	2414 (0x96e)Exported Function	
int __cdecl winGetSizeUNICODE(char const *)	0x1010481d	0x0000481d	2415 (0x96f)Exported Function	
int const __cdecl appMsgf(int,unsigned short const *,...)	0x101022fc	0x000022fc	2082 (0x822)Exported Function	
int GCastDuplicate	0x10283774	0x00183774	1038 (0x40e)Exported Function	
int GColorBits	0x10237388	0x00137388	1042 (0x412)Exported Function	
int GEdSelectionLock	0x1023e8d0	0x0013e8d0	1050 (0x41a)Exported Function	
int GEdShowFogInViewports	0x102352e4	0x001352e4	1051 (0x41b)Exported Function	
int GEnableEngSelection	0x1023f970	0x0013f970	1055 (0x41f)Exported Function	
int GExitPurge	0x1023fe58	0x0013fe58	1059 (0x423)Exported Function	
int GIsArrowMode	0x10237358	0x00137358	1067 (0x42b)Exported Function	
int GIsBenchmarking	0x1023e908	0x0013e908	1068 (0x42c)Exported Function	
int GIsClient	0x1023e8d4	0x0013e8d4	1069 (0x42d)Exported Function	
int GIsCriticalError	0x1023e8dc	0x0013e8dc	1070 (0x42e)Exported Function	
int GIsDynamicRecompile	0x1023e8c8	0x0013e8c8	1071 (0x42f)Exported Function	
int GIsEditor	0x1023e8c4	0x0013e8c4	1072 (0x430)Exported Function	
int GIsEnterChatting	0x1023f94c	0x0013f94c	1073 (0x431)Exported Function	
int GIsGuarded	0x1023e8e4	0x0013e8e4	1074 (0x432)Exported Function	
int GIsKeyboardSecurity	0x10237350	0x00137350	1075 (0x433)Exported Function	
int GIsL22DQuestMark	0x1023f91c	0x0013f91c	1076 (0x434)Exported Function	
int GIsL2Console	0x1023f928	0x0013f928	1077 (0x435)Exported Function	
int GIsL2HideName	0x1023f938	0x0013f938	1078 (0x436)Exported Function	
int GIsL2Mark	0x1023f984	0x0013f984	1079 (0x437)Exported Function	
int GIsL2NetLog	0x1023f924	0x0013f924	1080 (0x438)Exported Function	
int GIsL2NetLogin	0x1023f920	0x0013f920	1081 (0x439)Exported Function	
int GIsL2Projector	0x10237328	0x00137328	1082 (0x43a)Exported Function	
int GIsL2Seamless	0x1023f92c	0x0013f92c	1083 (0x43b)Exported Function	
int GIsL2WaterEffect	0x1023f994	0x0013f994	1084 (0x43c)Exported Function	
int GIsL2WaterEffectType	0x1023f998	0x0013f998	1085 (0x43d)Exported Function	
int GIsLeftHandedMouse	0x1023f974	0x0013f974	1086 (0x43e)Exported Function	
int GIsLoadL2WaterEffect	0x10237390	0x00137390	1087 (0x43f)Exported Function	
int GIsNative	0x1023732c	0x0013732c	1088 (0x440)Exported Function	
int GIsOldChat	0x1023734c	0x0013734c	1089 (0x441)Exported Function	
int GIsOnlyL2Console	0x1023f93c	0x0013f93c	1090 (0x442)Exported Function	
int GIsOnlyMSN	0x1023f940	0x0013f940	1091 (0x443)Exported Function	
int GIsOnlyXMLUI	0x1023f948	0x0013f948	1092 (0x444)Exported Function	
int GIsOpenGL	0x1023e90c	0x0013e90c	1093 (0x445)Exported Function	
int GIsRejectingDuel	0x1023fa30	0x0013fa30	1094 (0x446)Exported Function	
int GIsRequestingExit	0x1023e8f0	0x0013e8f0	1095 (0x447)Exported Function	
int GIsRunning	0x1023e8e8	0x0013e8e8	1096 (0x448)Exported Function	
int GIsScriptable	0x1023e8c0	0x0013e8c0	1098 (0x44a)Exported Function	
int GIsSEK	0x1023f930	0x0013f930	1097 (0x449)Exported Function	
int GIsServer	0x1023e8d8	0x0013e8d8	1099 (0x44b)Exported Function	
int GIsSlowTask	0x1023e8ec	0x0013e8ec	1100 (0x44c)Exported Function	
int GIsStarted	0x1023e8e0	0x0013e8e0	1101 (0x44d)Exported Function	
